Job Type,Job Title,Location,Job Link,Scraped Date (DD-MM-YYYY),Employment Type,Experience Level
PROJECT MANAGEMENT,Program Coordinator,"Beirut, Lebanon",https://jobs.jobsforhumanity.com/Nucleus Ventures/2943af27-de8c-49d5-ba0d-e8e871de9e57.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Contract,Mid-Senior Level
SUPPLY CHAIN,Logistics Instant Execution Coordinator,Remote,https://jobs.jobsforhumanity.com/Sucafina/351c9093-e070-414a-8612-10b9fb25a59b.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Mid-Senior Level
ACCOUNTING/AUDITING,Senior Accountant,"Beirut, Lebanon",https://jobs.jobsforhumanity.com/Business Lobby/801a32d4-787d-409e-8774-6092d86b6589.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Not Applicable
OTHER,Administrative Assistant And Supply Chain Coordinator,"Beirut, Lebanon",https://jobs.jobsforhumanity.com/Meeting point/d5236cff-b4a4-458d-a5ea-427294df2628.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Mid-Senior Level
PRODUCTION,Production Manager,"Beirut, Lebanon",https://jobs.jobsforhumanity.com/RECRUITMENT/ef388478-31cb-47ae-a655-90edd988a543.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Mid-Senior Level
ENGINEERING,Senior Back End Engineer – Java Spring...,Remote,https://jobs.jobsforhumanity.com/Awesomedia/1f2221fa-22b1-436b-b3f3-bd97080b414c.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Mid-Senior Level
ENGINEERING,Senior Back End Engineer – PHP Laravel...,Remote,https://jobs.jobsforhumanity.com/Awesomedia/393aa076-ec3b-433c-b8e7-10b88e6aaa21.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Mid-Senior Level
ENGINEERING,Senior Mobile Engineer – Android ($5000+/month),Remote,https://jobs.jobsforhumanity.com/Awesomedia/d8f2f789-52fa-48d5-bf88-29e7fcdc8436.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Mid-Senior Level
OTHER,Revit Draftsperson – Remote(Lebanon),Remote,https://jobs.jobsforhumanity.com/Architect Builder Group PLLC/f7bb2b52-24f0-495a-87cc-5246ef3f74d4.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Entry Level
ENGINEERING,Senior Mobile Engineer – IOS ($5000+/month),Remote,https://jobs.jobsforhumanity.com/Awesomedia/b88b9640-a89d-4c49-a424-31d7c66776e1.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Mid-Senior Level
OTHER,Junior Warehouse Officer,"Mkalles, Lebanon",https://jobs.jobsforhumanity.com/Asmar Wood/4055a93d-8fc4-45a9-b919-cf1557a4b1dd.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Entry Level
OTHER,Junior Warehouse Officer,"Mkalles, Lebanon",https://jobs.jobsforhumanity.com/Asmar Wood/7e917a9e-3910-47f8-b1ea-1eef7853f032.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Entry Level
OTHER,Mobile App Developer,"Beirut, Lebanon",https://jobs.jobsforhumanity.com/N/A/24493447-2b58-4fd6-bd0b-605a93b7eb02.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Mid-Senior Level
MANAGEMENT,E-Commerce Manager,"Jounieh, Lebanon",https://jobs.jobsforhumanity.com/Expertise Recruitment/1e5f06d4-b5ee-41b0-a72f-2c7abf5efb30.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Mid-Senior Level
OTHER,Outbound Sales Training Specialist,"Beirut, Lebanon",https://jobs.jobsforhumanity.com/Beautypulse Arabia/ba624d1a-4343-4948-9203-9168d293010a.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Mid-Senior Level
